id_karta_platnicza,numer_karty_platniczej,data_waznosci_karty,CVC
110,3761648627563513,07/21,344
111,6927604921448885,06/21,565
112,9298926580003263,07/22,562
113,3058980328204706,09/21,751
114,8595085088352992,12/21,500
115,7127556760567252,04/22,266
116,0305484836729201,06/21,531
117,8604465932285399,02/22,449
118,5320267086297774,09/21,755
119,1937969154543907,09/22,233
120,0078065252927747,10/21,166
121,1671726270177388,10/22,191
122,7872125152800916,11/21,671
123,3489769947235303,09/21,194
124,2538690491317942,06/22,897
125,3953890125539664,05/22,992
126,4095586994846785,07/21,377
127,1422558097652693,12/22,608
128,5841845681467781,10/21,154
129,0668656318912561,01/23,987
130,7933625192973980,11/22,634
131,6713021034695675,06/22,108
132,1126219192173740,07/22,894
133,7019153759334446,02/23,699
134,1980083256907878,11/21,988
135,6950709134570289,02/23,158
136,9083249247025084,09/21,604
137,9258383863053153,08/21,135
138,8648895910005597,01/23,242
139,8001965028272259,01/23,782
140,4879780795382563,09/21,629
141,8223352534884632,10/21,394
142,2923718191764357,10/22,636
143,8111746530162492,03/22,731
144,2081282946204885,07/21,970
145,0246876939431161,11/22,110
146,7389326531316329,08/22,781
147,8745784225487461,01/22,330
148,6452084300720417,09/22,992
149,6580716203664929,04/22,516
150,5939330060578534,04/23,509
151,4250454029948498,11/22,798
152,9119270859393835,02/22,481
153,3007127165563355,08/22,531
154,5725575968804235,03/23,325
155,1648714278633081,12/22,414
156,3719787582727034,12/21,559
157,2167335069151498,01/22,622
158,8636129946080502,05/22,241
159,8654623775164750,04/22,228
160,1230177158760846,12/21,475
161,9262948112962074,01/23,478
162,8615873544491883,07/22,547
163,1399501464549925,07/22,238
164,8492936327211725,08/21,668
165,2064538087003287,04/22,224
166,1747075286911632,03/23,374
167,7866944957245352,03/23,849
168,3368655667209588,07/21,290
169,4769727962224058,01/23,728
170,3428085295873021,06/22,769
171,1898761085034778,07/22,999
172,6982277051172890,01/22,850
173,8849835969748707,11/22,653
174,2930091174975853,02/23,372
175,5261231979686306,07/22,740
176,0662737712666929,10/22,594
177,3184064741057754,09/22,493
178,8285098664583025,10/21,970
179,7561302359113605,10/22,507
180,5533208782817883,07/22,475
181,9641001215811376,08/22,766
182,1970663471364751,07/21,278
183,7228543464731550,11/22,339
184,6799270535297469,08/21,743
185,5419974616177435,09/22,419
186,2703348535005760,09/21,939
187,6970587755190517,03/22,658
188,5103749745515474,06/22,285
189,8005860051578120,08/22,317
190,6766411026591782,01/22,853
191,3054005684814071,03/22,752
192,3685611212094835,07/21,417
193,7543237042023860,02/23,726
194,1782995990825101,10/21,643
195,3391433567327044,04/22,896
196,7383373109201845,12/21,827
197,5918485812857720,06/21,655
198,5449548850695454,08/21,725
199,3959762619340904,08/22,459
200,9988738433988627,07/22,288
201,2584104554559959,08/21,782
202,3712256134862087,07/21,941
203,2997452901851598,12/22,772
204,2028263126104133,07/21,192
205,0763765526124945,09/21,239
206,3777894008131249,04/23,874
207,8653279404359486,09/22,312
208,6520529760910897,09/22,431
209,3012416766153428,11/21,685
210,2491162173970300,10/22,549
211,3460136389707432,02/23,434
212,5397570551852386,01/22,117
213,9835214022454808,02/23,855
214,8359810763150148,08/21,527
215,0165197652551345,03/22,976
216,3404177337486988,06/22,634
217,4051604266501545,01/23,690
218,9747074561459099,09/21,610
219,1656822433079677,06/22,204
220,4899350810809416,03/22,134
221,7420954934601740,12/22,716
222,3324134034550535,12/21,833
223,4438472074824567,11/21,814
224,0914058518144988,12/22,372
225,7209383207765565,02/23,752
226,1520138283171444,11/21,513
227,4828035891466172,02/22,488
228,7386569641096534,10/22,831
229,2518309866948421,09/21,308
230,9798330426060895,01/22,940
231,7906773711143430,03/23,396
232,2362898869655535,05/23,640
233,0233044288628942,05/22,704
234,6065935591126729,12/21,179
235,5950248867809570,09/22,250
236,3948540766585544,06/21,231
237,4753520320900039,05/21,616
238,2492169654299446,05/22,114
239,7228658558598123,01/22,236
240,5574229528965947,06/21,279
241,3371830428552707,02/23,569
242,5984402467314548,07/21,378
243,6666095647455905,10/22,749
244,4977445750398664,04/23,364
245,2528166511526266,06/22,978
246,4049899298952188,03/23,455
247,6003625142318359,03/23,745
248,5865063926104574,09/21,643
249,0086128537886535,04/23,312
250,8582508713388998,03/23,743
251,5093620417053248,05/21,201
252,6415238527415176,02/23,166
253,1232740793942006,02/22,358
254,6864481897974087,10/21,436
255,1481284226333692,05/22,292
256,4605403478466871,10/21,704
257,8353579803495631,01/22,754
258,9673052518399082,08/22,560
259,1821735220962668,08/22,441
260,0982400709782201,02/23,603
261,1886017989558958,03/22,852
262,7298098870171699,03/22,604
263,6073963512460243,12/21,260
264,2300181252952512,12/21,338
265,5288791161404628,06/22,726
266,3954207259772024,05/23,895
267,1182353758386026,04/23,628
268,6963123995929831,12/21,711
269,5419278664681250,12/22,949
270,8211117037878523,11/21,779
271,2550215806157140,12/22,379
272,5143280159683408,07/21,958
273,0016912160200562,05/21,158
274,0490550233642643,04/23,778
275,0383454765337331,09/21,390
276,4785018660314017,08/21,980
277,5250925252694941,08/22,836
278,9208869273390252,05/22,855
279,5200562167119901,11/21,980
280,9068231522875627,03/23,762
281,3335402612523513,09/22,246
282,9551174959687310,04/22,784
283,6589192715238424,02/22,960
284,4678528105516382,02/23,211
285,8300125354889825,06/22,572
286,0178384891183366,12/21,446
287,6762117096811323,02/23,228
288,1696497670947315,06/22,999
289,3710817639062178,11/22,219
290,3301082920335373,09/22,581
291,8165894857035179,12/22,300
292,8901921267630112,06/22,868
293,7082949975154343,10/21,448
294,5266524165377248,01/22,160
295,7846721875229671,02/23,359
296,4658813291440518,10/22,112
297,8629505734306643,04/22,314
298,3147339889307384,09/21,686
299,7973608014767999,07/22,466
300,7276165463847426,11/22,300
301,5323438295194567,07/22,446
302,2908361219636990,02/22,258
303,3451657842410839,09/21,871
304,1353562208198323,03/23,866
305,4032884395124048,01/22,593
306,7320529718041892,10/22,311
307,1006402536675158,07/21,425
308,6455173125017238,10/22,400
309,0232869444603967,11/21,594
310,1935050178306708,08/21,159
311,2772116719787206,10/22,628
312,5716884290999026,11/21,805
313,4891511398605152,07/22,390
314,2117408407534283,01/22,314
315,9931239835098329,10/21,583
316,9467865300683982,09/21,367
317,9569304492722316,04/23,943
318,9554965648521826,06/21,541
319,1055458270586572,02/22,198
320,2177816347164674,11/21,275
321,3971141728201333,04/23,165
322,0127464629304533,07/21,320
323,5567296507830931,03/22,243
324,0685305619252407,10/22,211
325,8004501331373480,04/23,341
326,4339048200618898,10/22,899
327,3394736000590734,12/22,210
328,2461662370169003,03/22,116
329,5031042532376401,02/22,169
330,1773144214317367,09/22,746
331,7810352729230248,12/22,997
332,8943257564922600,02/22,833
333,0433263494742731,09/21,238
334,6374939861572387,01/23,752
335,2935330072714978,10/22,690
336,2702664246534353,10/21,724
337,1701883698576204,10/22,327
338,2196343977220938,10/22,977
339,5689277843057279,08/22,314
340,3266133464392358,12/21,213
341,4181935983252595,07/22,233
342,5659013415764806,04/22,781
343,2518501864359406,03/23,974
344,0703119884780516,12/22,692
345,9161925375781798,02/23,854
346,2002886677183875,12/21,563
347,9575850642331261,05/22,309
348,8005672855730236,09/22,110
349,8459001442604894,02/23,949
350,4076922663909984,02/22,559
351,8450903517401442,01/22,197
352,1244808717701286,08/21,814
353,8581199690042164,03/22,604
354,1369176888065851,08/21,719
355,7366966909174788,08/21,433
356,7014893968719493,12/21,196
357,5272272457135415,07/22,683
358,5469327147630793,03/23,536
359,2525082128634299,07/21,890
360,8216453194997413,04/23,712
361,6359578102301294,11/21,457
362,5999094982305069,04/22,606
363,6424637948233692,03/23,669
364,8352334640700375,03/23,634
365,2199138371064657,02/22,319
366,8063703514889401,06/22,460
367,0278650625372663,05/22,328
368,9123647537948340,11/21,238
369,3673398771335627,09/22,923
370,6333961809259386,08/22,182
371,2001873118845709,02/23,163
372,3874774934311431,07/21,546
373,5028246082782821,05/22,591
374,7831865277619169,02/22,520
375,5181164957778247,07/21,648
376,6622809528787238,01/23,189
377,5070937606953519,06/22,838
378,3883401299438598,07/22,383
379,9867563427037876,03/22,771
380,0082272700209507,10/21,259
381,7381809847713524,06/22,382
382,5707417617214397,06/22,321
383,1520477281715072,03/23,200
384,4622339554942158,10/22,521
385,6213504220292448,03/23,695
386,6206760603861334,05/21,539
387,7952182474813585,09/21,628
388,4325938890134603,04/23,263
389,2494979793388832,08/21,192
390,9147038172775990,08/21,947
391,4973766055987079,12/21,492
392,5983155820821760,06/22,544
393,9715761758728188,12/21,101
394,1957878709469957,03/22,234
395,1583231960158168,10/22,683
396,4743442902869074,07/21,878
397,0622683732800458,04/22,935
398,8231143003087994,10/21,224
399,2005848659107099,05/23,485
400,0083097175079190,06/22,284
401,5863412629618029,03/23,961
402,6083168238338587,11/21,300
403,1233862481501561,12/21,469
404,0308546975552764,07/21,246
405,0273765366838232,01/22,403
406,1878744306071274,08/21,153
407,0266532461693011,04/23,809
408,0924231303677689,02/22,431
409,4567938622644443,06/21,747
410,9600003681371726,06/21,482
411,0579201855399086,01/23,162
412,9613304676402808,05/22,651
413,9061917217303390,07/21,573
414,3357033436345946,04/22,657
415,5573890194594027,02/22,671
416,0894331676612278,09/22,132
417,0790995489517215,12/21,259
418,6957623246415522,05/21,533
419,3148627245451620,06/21,241
420,9643889304837369,01/23,787
421,4602848309929126,01/22,611
422,5544859786045891,02/22,906
423,2030349379595040,08/22,571
424,9908685731523453,02/23,845
425,5724194699730239,02/22,354
426,1516248871325172,11/22,464
427,2437036776006211,06/21,495
428,8497368693776100,12/21,604
429,7083860866188572,07/22,558
430,4612206982182753,11/22,634
431,8129085164737283,02/22,521
432,0556538611374966,12/21,256
433,5601865602985391,09/21,947
434,5634355720686832,06/21,882
435,4050753648930996,05/21,326
436,4079799476218169,11/22,730
437,6629278219206446,08/21,302
438,4314890019279946,12/21,323
439,4893112318864018,10/21,348
440,5626746015961210,12/21,289
441,4237556411529786,08/22,158
442,5441467338549891,09/22,214
443,6762183603499553,06/21,107
444,6763192741532709,05/22,402
445,2116720219863831,05/21,533
446,7349191623323754,08/22,882
447,2202522396138601,08/22,187
448,0301025458113046,10/22,192
449,7130436675287380,04/23,411
450,0065424538584655,10/21,156
451,5042617994285585,11/22,291
452,4948586061726887,09/21,341
453,0348243538114363,01/23,779
454,5852923740527831,12/22,348
455,1475903127481230,01/23,790
456,5098748366197412,04/22,234
457,6210338820050700,08/22,777
458,9818184372784957,09/22,186
459,6044864825636424,02/22,625
460,0634017701659719,07/21,347
461,6890726452876473,01/22,861
462,2399101860680949,10/22,893
463,5701263030514348,12/22,439
464,4945706487337294,01/22,383
465,0694735249697037,02/22,509
466,9555933370565871,09/22,801
467,2908258845983378,08/22,886
468,3826107662544373,01/23,466
469,5593449322791620,09/21,880
470,9186858403776132,04/23,217
471,6656089780311203,12/21,211
472,7166679355588655,10/22,323
473,1500391602905087,07/22,787
474,4353708287932147,11/21,341
475,5016718723700544,05/22,158
476,7106493326573824,08/22,102
477,9217941752306478,04/22,544
478,4248674258073076,11/22,339
479,4675328725103656,08/22,161
480,4389537611787923,11/22,735
481,8796421625281325,05/22,203
482,1049750438461149,10/21,178
483,1333958230566676,07/22,188
484,6467895267406420,04/22,822
485,6934275731418583,01/22,277
486,5110477884314174,12/21,587
487,2637479988461623,04/23,867
488,3860645069133759,05/21,128
489,3473351823547375,08/21,991
490,8143103346096131,03/22,863
491,6448271718194185,11/22,665
492,2775111218349104,10/21,652
493,8630449643729446,02/22,218
494,0821040389583170,09/21,518
495,7596149968315413,12/21,805
496,3413703397468933,08/21,894
497,0529598813327161,10/21,411
498,9933220798622527,10/22,838
499,2270194512674074,06/21,449
500,1661450082510433,03/23,272
501,4409922606680097,07/21,758
502,1121114725168303,05/21,526
503,0372078669756468,09/22,804
504,8993718977381884,12/21,605
505,0439198954322112,01/23,177
506,4023001382267761,01/22,213
507,5314269692705855,02/23,203
508,9610093250921185,05/21,299
509,3782374189035121,10/22,327
510,3216476408593721,01/23,662
511,5440629655787019,12/22,320
512,8305713207038693,02/23,169
513,9039684471591774,08/22,835
514,2296503542236326,06/22,677
515,1356827329193926,07/21,934
516,8192735072398912,03/22,578
517,7185504608624616,03/22,607
518,4399461760773244,01/23,201
519,0914612347953597,07/22,525
520,9111971645990190,06/21,321
521,4637084037535026,02/22,242
522,3585231231331678,10/22,119
523,4889916442578614,09/22,624
524,7798039460049098,10/21,892
525,8705257736441018,12/22,994
526,9939390349337224,11/21,401
527,8786413964973972,05/22,324
528,6526866203538825,09/21,787
529,8991965839711086,01/23,338
530,5591704333158938,04/23,913
531,5751590301488643,12/22,648
532,5060393551599447,03/23,926
533,6386688076719370,11/21,982
534,7490041531988841,05/22,705
535,0859935755026090,12/21,990
536,0042673552394002,03/23,659
537,0195841977068079,01/22,496
538,9522174578581183,07/21,235
539,4266233202272667,09/22,912
540,8873342934127360,08/22,942
541,2226429701469357,02/22,124
542,9152186314685507,08/21,846
543,7217918477735727,04/23,366
544,4811126701318191,04/22,377
545,6145522258085334,08/22,588
546,5681392711902273,03/23,727
547,3996254340674230,10/22,145
548,4497108111395024,05/21,109
549,9753093677908952,04/22,942
550,2400522917042039,06/22,611
551,7951629537480414,06/21,522
552,2064981934073552,08/21,207
553,6945472963387808,07/21,586
554,4846880853406575,08/21,969
555,2075948326124773,09/21,228
556,3194058464030960,09/22,746
557,1010336561235367,01/23,374
558,1789144174135855,08/22,116
559,5832394529996214,08/21,160
560,0654729965810879,05/22,308
561,0224854741065061,01/22,640
562,1981956776655858,12/21,152
563,0754406562633243,07/21,180
564,5262039684433540,08/21,197
565,8515087611864927,05/22,624
566,4793388811462547,05/21,710
567,0757468323240887,05/21,820
568,2160972344991599,10/21,176
569,6475798048826657,08/22,349
570,5707142033633797,03/23,484
571,5533582418066313,05/23,501
572,9491535169867212,11/22,683
573,5847256322635130,10/22,157
574,5531690468770328,01/22,866
575,0146469105235390,12/22,719
576,0761229909338239,12/21,695
577,0329534760061768,07/21,500
578,7176176505745449,04/23,745
579,4409179230099471,02/22,275
580,4291806541091735,07/22,778
581,2742973973444697,03/22,650
582,0567109190935652,11/22,211
583,8281264719307013,06/22,668
584,8467668594257349,06/22,317
585,5280900307320005,08/22,739
586,8137731998338590,08/22,495
587,0040458879874566,10/21,947
588,3424323751242653,04/22,235
589,5864643528084028,11/22,385
590,7250912265918066,09/21,797
591,1314842927956229,09/22,833
592,3995150169136949,05/21,254
593,9851789745065804,04/23,777
594,5626796923963051,05/22,705
595,7957693768563229,12/21,610
596,9646679542604273,01/22,858
597,5088756329649146,10/21,701
598,1230783388652412,12/21,379
599,9086405055201813,03/22,358
600,2005483045568859,10/22,713
601,1377422623536857,06/22,936
602,1185231799649353,12/22,143
603,2725458994842764,06/21,627
604,1692482121485413,02/22,800
605,6734729572336953,07/21,845
606,7760892277790558,05/22,896
607,0510183529472250,05/21,922
608,5988265956515421,05/21,603
609,3346866249509468,11/21,338
610,4080047662084527,04/23,129
611,9575715225784934,06/22,892
612,3531194288715800,07/21,598
613,6872197881826751,03/22,196
614,7301599314115784,12/21,523
615,0648539455117280,09/21,438
616,9639944160844251,04/23,779
617,3603068276566952,12/21,342
618,5279339184445172,09/22,344
619,1289565022085237,05/21,112
620,2031226661843056,05/23,987
621,5161283378606637,07/21,994
622,5921582326472434,05/23,173
623,4797066673300359,01/23,569
624,6439865348772810,08/21,836
625,9155828129488943,12/21,415
626,4299538311121913,04/23,533
627,7176205783737179,12/21,169
628,7545856988991472,11/21,244
629,3518302130219285,01/22,787
630,4331219211684829,10/21,119
631,1303433653938782,05/21,185
632,9528749433253367,10/21,417
633,0274828867649734,07/22,993
634,2142686939207519,05/22,391
635,5854621270004036,03/23,507
636,5222161379988246,05/22,885
637,8319680694621083,06/22,411
638,0592961850196089,08/22,237
639,8698283815908304,05/22,373
640,3305255452432628,06/21,612
641,1044959968273506,02/23,581
642,6801264706324934,04/22,430
643,8498357520037696,12/21,730
644,1935631066900284,12/22,327
645,7784315442048767,09/22,157
646,2444400300695873,03/23,739
647,2787130188846960,02/23,439
648,1441851447321048,05/23,884
649,2922101957928333,05/21,788
650,4126673904943862,01/22,152
651,9400458376610452,12/21,757
652,1854859793666650,01/22,799
653,5434711421974692,10/21,244
654,4064867433184948,07/22,402
655,8650172056649899,08/21,569
656,3810344538577863,02/22,410
657,7419565114004542,05/21,747
658,4629157634508873,09/22,998
659,6861986990533289,07/21,506
660,7105830338211279,06/22,947
661,9985975419708180,03/23,274
662,3854293505775765,03/23,564
663,2427946745926164,01/23,684
664,0754259035700225,04/22,570
665,0597243169234941,06/21,527
666,8408443154379984,09/22,883
667,6729899133075569,05/21,621
668,4308552932817684,02/22,991
669,8397421506066609,12/21,661
670,9512445262947920,05/21,945
671,0521027184793389,06/21,541
672,0395658605636532,07/21,807
673,5393487171550064,12/22,982
674,2151767493936780,08/22,803
675,1468630290255286,01/22,827
676,9446830877557372,02/22,989
677,5935126481677461,01/22,909
678,3923891458721780,10/21,198
679,4130622299751691,08/21,932
680,3994343164954096,01/22,451
681,9261551212904833,07/21,769
682,7710884739725127,11/22,797
683,4335548442376053,07/22,319
684,6110940675803646,05/22,931
685,9238770056000371,10/21,507
686,8098763567214106,07/22,518
687,9320477587858339,10/21,314
688,2695263477683077,01/22,377
689,7104692550890017,05/21,110
690,7960438011199461,02/23,593
691,1853304104212292,09/21,922
692,0628740939391919,07/22,482
693,4259454776068965,11/21,261
694,5255195596405858,02/23,431
695,4289965923899051,05/21,703
696,0356942358206559,01/22,540
697,4810834733885499,01/23,170
698,5858117314973422,10/21,625
699,2096739614113172,11/22,783
700,5383707770292813,04/22,808
701,8117722846018872,09/22,710
702,0978758941865556,11/22,730
703,2395242350122832,02/22,575
704,1000952827373007,10/22,183
705,5057308431263773,02/22,853
706,8330157531638799,09/22,364
707,7235766920704688,04/22,101
708,8056697326115487,05/23,770
709,4530561375953944,01/22,574
710,0047363489876612,11/21,103
711,2763038992846446,09/21,866
712,2056435302924941,06/21,680
713,7106108045482312,02/22,861
714,7723036050092674,05/21,744
715,3672618100412290,12/22,554
716,3189130232907643,03/23,412
717,6044145568868399,07/21,274
718,8158481388922392,10/22,814
719,4429097956246438,12/21,113
720,1283672594897632,08/22,978
721,2290147493922945,06/22,794
722,7149644532274296,03/23,254
723,0868261194039810,10/21,392
724,1776318682889097,02/23,715
725,7039123253073481,05/21,264
726,4432015905993663,07/22,939
727,6419772846227372,04/23,749
728,9285191184757612,11/22,843
729,0053899027499192,08/21,154
730,4396580238941751,12/21,389
731,9029046545638782,11/21,754
732,4755093935797087,11/21,411
733,7884420058830587,03/22,220
734,3707742530528997,03/22,779
735,4104252093671719,10/22,828
736,8621151779676418,11/22,469
737,5098091772492278,09/22,563
738,8000780457875225,01/23,302
739,1613396888167647,03/23,725
740,5555912788913229,09/22,471
741,5232020187735490,05/23,115
742,4917795708938391,08/21,780
743,1101389124615665,10/21,777
744,3269078006397119,07/21,229
745,3202327033698331,12/22,176
746,2281287685794827,01/22,913
747,5113156755196218,07/22,159
748,2190785480317268,08/22,475
749,9996751848067188,10/22,210
750,9595075482651050,01/22,149
751,2753692759948044,12/22,992
752,9475867529679797,12/21,354
753,3425185134178173,03/22,913
754,2250889459157491,08/21,757
755,5351495673747679,12/21,293
756,7706265323814578,09/22,251
757,8313987624304571,10/21,598
758,4319733557126309,03/23,487
759,4922656951422065,12/22,257
760,6350808034344893,04/23,158
761,1968819342317581,12/21,163
762,8016051495289309,09/22,929
763,8808150478069049,09/21,326
764,1073479668967955,01/23,115
765,3754233292342652,09/21,428
766,9708466434380327,10/21,943
767,7020322665227615,07/22,741
768,9936371661089959,09/21,297
769,6249904232847546,09/21,961
770,0961623612672835,09/21,343
771,2537769516153063,03/23,805
772,8902624297133368,07/22,753
773,3633150313477266,08/21,357
774,8353651784153899,01/23,307
775,2172486963130423,08/21,932
776,5047731885674996,07/22,717
777,2159022152576436,04/22,919
778,0422207972879500,12/21,225
779,9031294771208112,03/22,442
780,3441424303904005,10/22,496
781,1736518726938373,04/22,771
782,9894198002107525,07/21,978
783,9017833762045833,01/23,799
784,7575688786311301,04/22,469
785,7971743788522307,04/22,204
786,5494170481793162,05/22,938
787,7031720342740804,09/21,775
788,4655146939192072,04/22,453
789,9059402143958794,04/22,311
790,5561491594677067,08/22,669
791,5168311269963219,02/23,879
792,3485079656714376,09/22,104
793,5916286249469303,05/21,223
794,5394041755031091,01/23,323
795,5301551021324478,05/22,438
796,1882638779860024,02/22,222
797,4066087311889198,03/22,987
798,2430210071095235,06/21,930
799,9586998778976991,06/22,354
800,0330411507742648,11/22,538
801,1840518485387681,06/22,141
802,8510028771429948,10/21,412
803,4342838115896882,05/21,161
804,9237018438476720,02/23,327
805,5853079876768860,02/23,244
806,3022561947768916,03/23,611
807,4634500278038269,03/22,553
808,9410458116123679,01/22,100
809,1401779708077572,05/21,696
810,7616733866535550,09/21,673
811,7747546523195772,01/23,987
812,3037893439099667,11/21,169
813,4350984070842882,04/22,228
814,5119648647315458,05/21,964
815,6770750503386547,10/21,682
816,3311059365723790,11/21,535
817,9800404880338972,10/22,219
818,9279534367058556,07/21,613
819,6151941289251354,09/21,190
820,4048316474031602,03/23,271
821,1162452614068118,07/22,721
822,9286760791394515,08/22,306
823,3076780758967669,06/21,585
824,2712414819324665,05/22,443
825,2222971938698126,08/21,426
826,4059968393958370,12/22,630
827,0031070679895246,11/22,779
828,4542936885265866,06/21,244
829,7698367263400245,03/22,660
830,7594389544301587,01/23,516
831,6014378788934519,08/22,583
832,5234879270858229,01/22,464
833,6214902937546099,05/21,455
834,4713094842171533,01/23,730
835,8371208754853291,08/22,435
836,3228070142785479,07/22,220
837,9117962826018450,07/22,725
838,3044296982451543,12/21,770
839,2245061189530260,06/22,737
840,0367349700343076,02/23,573
841,2714993433794408,05/21,156
842,8157958201378996,06/22,164
843,3507031735144125,06/22,743
844,9527829208195130,01/23,310
845,1062798942168864,10/22,161
846,4234433538768989,02/22,614
847,0759692760534677,01/22,961
848,2125663432312929,05/22,562
849,1543314848425447,08/22,764
850,9433866288207713,07/21,305
851,4639477993341135,12/22,538
852,7413691909612868,06/22,312
853,5203207648783258,09/21,445
854,9430339051919172,11/21,260
855,1418067841099493,06/22,812
856,9719871781964079,08/22,338
857,6083824824218015,11/21,319
858,1492184058137497,06/22,352
859,3558482600726030,07/22,969
860,6280338465852198,06/22,755
861,7250961787728781,02/22,562
862,8486942705993675,10/21,335
863,7598276995676161,05/21,119
864,2045850743429794,08/21,663
865,8634630317578509,02/22,110
866,5756599019713390,03/23,769
867,4615022500019077,12/21,643
868,3253272995396043,01/23,271
869,9341851961038661,03/22,297
870,0302398784727910,04/22,486
871,2994856894565769,10/21,769
872,8366051888709238,11/22,227
873,8774668124894687,09/21,386
874,4786574383512699,06/21,470
875,4602737631219567,04/22,538
876,2226600123813259,07/21,421
877,8776408617274797,07/22,100
878,6407621444704192,05/21,860
879,5684301576374348,09/21,455
880,2463918713805662,02/22,597
881,0552139413852187,11/21,870
882,1690314229981497,02/22,127
883,1831355117394111,10/21,216
884,1525745637124143,06/21,611
885,5600718013224340,11/22,626
886,9805533667801467,06/22,551
887,7465578703043641,10/21,718
888,0703360272649114,12/21,853
889,6965668711353050,06/22,198
890,8489651301415384,04/22,967
891,3161873237287372,08/22,283
892,6978289795170001,12/21,737
893,2045272560933102,12/21,962
894,8578373443555275,09/21,739
895,3845406449542538,04/22,361
896,2105649105481110,02/22,652
897,7463813455993215,11/22,321
898,7177372753964548,05/21,290
899,7730186079394565,05/22,366
900,3905669533072249,01/22,658
901,5051121425081310,05/22,461
902,7707231303652213,11/21,812
903,2504929011331708,10/22,829
904,7119522285499224,03/23,435
905,6466487819618490,09/21,628
906,8581766265589953,08/22,625
907,1839648267767242,08/21,216
908,6072348838782300,07/22,759
909,9728085753005166,01/22,957
910,9937866558959656,03/22,880
911,4779422428685584,11/22,964
912,5262810779426263,06/22,122
913,6829258943528481,09/21,196
914,0921701127491459,07/21,760
915,5223177605186296,10/22,578
916,1452589971431183,04/22,510
917,1529224311608122,07/21,720
918,4744725256340865,05/21,133
919,5729131749971619,11/22,196
920,5731988328183141,03/23,514
921,3384034005615772,02/22,165
922,8296525618850393,02/22,276
923,4458464179852934,05/23,912
924,0915634585889024,04/22,661
925,0925004956891700,08/21,917
926,5720215195219828,11/22,181
927,7812769660361228,12/21,554
928,2168353572490579,12/21,671
